,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,AvgSpeed
27,2,2007-05-14,90,54,72.0,15.0,45,58.0,0.0,7.0,433.0,1903.0,0.0,14.1,14.6
28,1,2007-05-15,80,57,69.0,11.0,56,61.0,0.0,4.0,432.0,1904.0,0.38,8.1,12.3
29,2,2007-05-15,82,56,69.0,11.0,56,61.0,0.0,4.0,432.0,1904.0,0.6,8.1,10.8
30,1,2007-05-16,66,44,55.0,-4.0,43,48.0,10.0,0.0,431.0,1905.0,0.14,7.8,12.2
31,2,2007-05-16,64,45,55.0,-4.0,42,47.0,10.0,0.0,431.0,1905.0,0.07,8.0,11.8
32,1,2007-05-17,62,43,53.0,-6.0,32,43.0,12.0,0.0,430.0,1906.0,0.0,10.5,11.3
33,2,2007-05-17,61,44,53.0,-6.0,32,43.0,12.0,0.0,430.0,1906.0,0.0,11.7,12.2
34,1,2007-05-18,71,42,57.0,-3.0,30,46.0,8.0,0.0,429.0,1907.0,0.0,5.4,7.5
35,2,2007-05-18,70,43,57.0,-3.0,31,47.0,8.0,0.0,429.0,1907.0,0.0,3.4,5.5
36,1,2007-05-19,80,56,68.0,8.0,39,53.0,0.0,3.0,428.0,1908.0,0.0,11.1,11.4
37,2,2007-05-19,80,56,68.0,8.0,37,53.0,0.0,3.0,428.0,1908.0,0.0,11.1,11.4
38,1,2007-05-20,69,43,56.0,-5.0,40,44.0,9.0,0.0,427.0,1909.0,0.07,10.4,10.7
39,2,2007-05-20,69,44,57.0,-5.0,41,45.0,8.0,0.0,427.0,1909.0,0.11,8.6,9.7
40,1,2007-05-21,80,44,62.0,1.0,50,56.0,3.0,0.0,426.0,1910.0,0.0,6.3,8.2
41,2,2007-05-21,79,46,63.0,1.0,50,57.0,2.0,0.0,426.0,1910.0,0.0,6.3,7.8
42,1,2007-05-22,87,55,71.0,10.0,46,58.0,0.0,6.0,425.0,1911.0,0.0,10.0,10.2
43,2,2007-05-22,87,60,74.0,10.0,44,58.0,0.0,9.0,425.0,1911.0,0.0,10.1,10.6
44,1,2007-05-23,89,60,75.0,14.0,49,61.0,0.0,10.0,425.0,1912.0,0.0,11.4,11.8
45,2,2007-05-23,89,66,78.0,14.0,48,61.0,0.0,13.0,425.0,1912.0,0.0,10.9,11.2
46,1,2007-05-24,88,63,76.0,14.0,54,63.0,0.0,11.0,424.0,1913.0,0.02,14.9,17.3
47,2,2007-05-24,88,66,77.0,14.0,53,63.0,0.0,12.0,424.0,1913.0,0.001,13.8,15.2
48,1,2007-05-25,70,56,63.0,1.0,44,53.0,2.0,0.0,423.0,1914.0,0.001,4.9,8.8
49,2,2007-05-25,66,57,62.0,1.0,46,53.0,3.0,0.0,423.0,1914.0,0.09,4.5,8.2
50,1,2007-05-26,65,49,57.0,-5.0,55,56.0,8.0,0.0,422.0,1915.0,1.01,2.8,7.2
51,2,2007-05-26,70,50,60.0,-5.0,55,57.0,5.0,0.0,422.0,1915.0,0.28,2.5,7.8
52,1,2007-05-27,75,57,66.0,4.0,47,56.0,0.0,1.0,422.0,1916.0,0.04,8.9,9.5
53,2,2007-05-27,75,59,67.0,4.0,49,57.0,0.0,2.0,422.0,1916.0,0.08,8.2,9.2
54,1,2007-05-28,79,50,65.0,2.0,47,56.0,0.0,0.0,421.0,1916.0,0.001,4.8,5.3
55,2,2007-05-28,76,54,65.0,2.0,49,57.0,0.0,0.0,421.0,1916.0,0.0,4.7,5.2
56,1,2007-05-29,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,5.8,6.5
57,2,2007-05-29,88,65,77.0,10.0,59,66.0,0.0,12.0,421.0,1917.0,0.0,5.8,7.4
58,1,2007-05-30,87,66,77.0,13.0,58,65.0,0.0,12.0,420.0,1918.0,0.0,10.3,10.6
59,2,2007-05-30,89,70,80.0,13.0,57,66.0,0.0,15.0,420.0,1918.0,0.0,9.7,10.1
60,1,2007-05-31,78,65,72.0,8.0,61,65.0,0.0,7.0,420.0,1919.0,0.01,9.3,9.9
61,2,2007-05-31,80,68,74.0,8.0,61,66.0,0.0,9.0,420.0,1919.0,0.53,8.9,9.2
62,1,2007-06-01,85,62,74.0,10.0,63,66.0,0.0,9.0,419.0,1920.0,0.19,4.2,6.4
63,2,2007-06-01,86,67,77.0,10.0,63,67.0,0.0,12.0,419.0,1920.0,0.21,4.7,5.8
64,1,2007-06-02,81,65,73.0,9.0,63,67.0,0.0,8.0,419.0,1920.0,0.04,6.5,7.4
65,2,2007-06-02,81,68,75.0,9.0,62,67.0,0.0,10.0,419.0,1920.0,0.001,7.5,8.2
66,1,2007-06-03,78,62,70.0,6.0,60,63.0,0.0,5.0,418.0,1921.0,0.01,5.2,6.7
67,2,2007-06-03,77,64,71.0,6.0,60,64.0,0.0,6.0,418.0,1921.0,0.32,4.9,7.2
68,1,2007-06-04,71,58,65.0,1.0,58,60.0,0.0,0.0,418.0,1922.0,0.39,7.8,9.7
69,2,2007-06-04,72,56,64.0,1.0,57,60.0,1.0,0.0,418.0,1922.0,0.31,7.9,10.1
70,1,2007-06-05,64,47,56.0,-9.0,48,51.0,9.0,0.0,417.0,1923.0,0.42,5.2,7.6
71,2,2007-06-05,63,51,57.0,-9.0,47,52.0,8.0,0.0,417.0,1923.0,0.27,6.2,8.1
72,1,2007-06-06,71,44,58.0,-8.0,48,55.0,7.0,0.0,417.0,1923.0,0.01,10.8,11.4
73,2,2007-06-06,73,48,61.0,-8.0,47,55.0,4.0,0.0,417.0,1923.0,0.001,9.6,10.6
74,1,2007-06-07,91,71,81.0,15.0,62,69.0,0.0,16.0,417.0,1924.0,0.0,22.7,23.1
75,2,2007-06-07,92,71,82.0,15.0,61,68.0,0.0,17.0,417.0,1924.0,0.0,20.3,20.7
76,1,2007-06-08,81,57,69.0,3.0,53,61.0,0.0,4.0,417.0,1925.0,0.0,10.9,13.8
77,2,2007-06-08,81,63,72.0,3.0,54,62.0,0.0,7.0,417.0,1925.0,0.0,9.3,12.4
78,1,2007-06-09,79,52,66.0,0.0,47,57.0,0.0,1.0,416.0,1925.0,0.0,0.3,5.0
79,2,2007-06-09,79,57,68.0,0.0,49,58.0,0.0,3.0,416.0,1925.0,0.0,2.4,4.7
80,1,2007-06-10,81,55,68.0,1.0,51,59.0,0.0,3.0,416.0,1926.0,0.0,4.8,5.6
81,2,2007-06-10,81,61,71.0,1.0,50,60.0,0.0,6.0,416.0,1926.0,0.0,4.6,5.8
82,1,2007-06-11,86,58,72.0,5.0,52,61.0,0.0,7.0,416.0,1926.0,0.0,4.9,6.9
83,2,2007-06-11,85,65,75.0,5.0,51,61.0,0.0,10.0,416.0,1926.0,0.0,6.6,8.4
84,1,2007-06-12,83,62,73.0,5.0,50,60.0,0.0,8.0,416.0,1927.0,0.0,8.3,8.8
85,2,2007-06-12,82,66,74.0,5.0,51,61.0,0.0,9.0,416.0,1927.0,0.0,9.4,10.0
86,1,2007-06-13,87,60,74.0,6.0,53,62.0,0.0,9.0,416.0,1927.0,0.0,7.2,8.6
87,2,2007-06-13,86,68,77.0,6.0,53,62.0,0.0,12.0,416.0,1927.0,0.0,7.0,8.6
88,1,2007-06-14,89,64,77.0,9.0,55,64.0,0.0,12.0,416.0,1928.0,0.0,5.6,6.8
89,2,2007-06-14,89,68,79.0,9.0,54,63.0,0.0,14.0,416.0,1928.0,0.0,5.9,6.4
90,1,2007-06-15,91,63,77.0,9.0,56,64.0,0.0,12.0,416.0,1928.0,0.0,4.1,4.9
91,2,2007-06-15,89,67,78.0,9.0,56,65.0,0.0,13.0,416.0,1928.0,0.0,3.8,4.1
92,1,2007-06-16,93,66,80.0,11.0,60,67.0,0.0,15.0,416.0,1929.0,0.001,4.8,5.8
93,2,2007-06-16,92,68,80.0,11.0,61,68.0,0.0,15.0,416.0,1929.0,0.001,2.1,6.1
94,1,2007-06-17,91,70,81.0,12.0,64,70.0,0.0,16.0,416.0,1929.0,0.0,2.8,6.3
95,2,2007-06-17,91,71,81.0,12.0,65,70.0,0.0,16.0,416.0,1929.0,0.16,4.0,6.1
96,1,2007-06-18,89,69,79.0,9.0,65,70.0,0.0,14.0,416.0,1929.0,0.28,14.0,15.1
97,2,2007-06-18,89,73,81.0,9.0,65,70.0,0.0,16.0,416.0,1929.0,0.02,12.2,12.6
98,1,2007-06-19,80,65,73.0,3.0,55,63.0,0.0,8.0,416.0,1930.0,0.58,10.7,11.4
99,2,2007-06-19,81,65,73.0,3.0,55,63.0,0.0,8.0,416.0,1930.0,0.93,10.1,11.3
100,1,2007-06-20,84,61,73.0,3.0,52,61.0,0.0,8.0,416.0,1930.0,0.0,7.8,8.8
101,2,2007-06-20,85,62,74.0,3.0,50,61.0,0.0,9.0,416.0,1930.0,0.0,5.9,7.7
102,1,2007-06-21,77,61,69.0,-1.0,51,60.0,0.0,4.0,416.0,1930.0,0.01,3.5,10.7
103,2,2007-06-21,80,66,73.0,-1.0,51,61.0,0.0,8.0,416.0,1930.0,0.001,3.7,9.6
104,1,2007-06-22,76,61,69.0,-1.0,50,58.0,0.0,4.0,417.0,1931.0,0.001,7.8,8.7
105,2,2007-06-22,75,62,69.0,-1.0,49,58.0,0.0,4.0,417.0,1931.0,0.001,6.5,8.1
106,1,2007-06-23,67,62,65.0,-5.0,58,61.0,0.0,0.0,417.0,1931.0,0.05,7.6,9.0
107,2,2007-06-23,68,61,65.0,-5.0,60,62.0,0.0,0.0,417.0,1931.0,0.34,7.3,8.1
108,1,2007-06-24,77,63,70.0,-1.0,62,65.0,0.0,5.0,417.0,1931.0,0.0,7.0,8.0
109,2,2007-06-24,75,65,70.0,-1.0,62,65.0,0.0,5.0,417.0,1931.0,0.0,5.6,6.0
110,1,2007-06-25,89,65,77.0,6.0,66,70.0,0.0,12.0,417.0,1931.0,0.0,3.9,6.8
111,2,2007-06-25,86,67,77.0,6.0,67,70.0,0.0,12.0,417.0,1931.0,0.0,4.0,5.9
112,1,2007-06-26,92,70,81.0,10.0,69,72.0,0.0,16.0,418.0,1931.0,0.16,6.1,7.1
113,2,2007-06-26,91,73,82.0,10.0,69,72.0,0.0,17.0,418.0,1931.0,0.001,7.3,8.1
114,1,2007-06-27,91,71,81.0,10.0,70,72.0,0.0,16.0,418.0,1931.0,0.15,7.5,8.8
115,2,2007-06-27,89,71,80.0,10.0,69,72.0,0.0,15.0,418.0,1931.0,0.35,7.9,8.5
116,1,2007-06-28,74,58,66.0,-5.0,55,60.0,0.0,1.0,419.0,1931.0,0.0,11.9,12.5
117,2,2007-06-28,73,61,67.0,-5.0,56,61.0,0.0,2.0,419.0,1931.0,0.0,12.2,13.3
118,1,2007-06-29,70,56,63.0,-8.0,55,59.0,2.0,0.0,419.0,1931.0,0.0,7.6,8.3
119,2,2007-06-29,71,56,64.0,-8.0,56,60.0,1.0,0.0,419.0,1931.0,0.0,7.4,8.2
120,1,2007-06-30,79,54,67.0,-5.0,46,56.0,0.0,2.0,419.0,1931.0,0.0,4.9,5.8
121,2,2007-06-30,77,58,68.0,-5.0,49,58.0,0.0,3.0,419.0,1931.0,0.0,5.1,6.2
122,1,2007-07-01,75,54,65.0,-7.0,52,58.0,0.0,0.0,420.0,1931.0,0.0,8.6,8.6
123,2,2007-07-01,76,61,69.0,-7.0,51,59.0,0.0,4.0,420.0,1931.0,0.0,9.5,9.7
124,1,2007-07-02,79,53,66.0,-6.0,50,58.0,0.0,1.0,420.0,1931.0,0.0,5.9,8.1
125,2,2007-07-02,77,58,68.0,-6.0,50,59.0,0.0,3.0,420.0,1931.0,0.0,7.4,8.5
126,1,2007-07-03,83,60,72.0,0.0,57,63.0,0.0,7.0,421.0,1931.0,0.4,6.7,7.3
127,2,2007-07-03,83,63,73.0,0.0,56,63.0,0.0,8.0,421.0,1931.0,0.09,6.4,7.4
128,1,2007-07-04,86,67,77.0,5.0,65,69.0,0.0,12.0,422.0,1930.0,0.16,4.6,8.2
129,2,2007-07-04,84,67,76.0,5.0,65,69.0,0.0,11.0,422.0,1930.0,0.66,3.1,8.8
130,1,2007-07-05,89,71,80.0,8.0,60,67.0,0.0,15.0,422.0,1930.0,0.0,6.4,8.1
131,2,2007-07-05,88,70,79.0,8.0,60,67.0,0.0,14.0,422.0,1930.0,0.0,4.3,6.9
132,1,2007-07-06,86,66,76.0,4.0,57,64.0,0.0,11.0,423.0,1930.0,0.0,3.2,5.5
133,2,2007-07-06,84,68,76.0,4.0,57,65.0,0.0,11.0,423.0,1930.0,0.0,3.3,5.5
134,1,2007-07-07,90,64,77.0,5.0,63,69.0,0.0,12.0,423.0,1930.0,0.0,8.4,8.6
135,2,2007-07-07,88,68,78.0,5.0,62,68.0,0.0,13.0,423.0,1930.0,0.0,7.4,8.1
136,1,2007-07-08,94,75,85.0,12.0,67,72.0,0.0,20.0,424.0,1929.0,0.0,12.9,13.1
137,2,2007-07-08,93,75,84.0,12.0,67,72.0,0.0,19.0,424.0,1929.0,0.0,12.6,12.7
138,1,2007-07-09,94,70,82.0,9.0,66,70.0,0.0,17.0,425.0,1929.0,0.3,4.9,8.8
139,2,2007-07-09,93,72,83.0,9.0,67,71.0,0.0,18.0,425.0,1929.0,0.24,4.8,8.8
140,1,2007-07-10,89,69,79.0,6.0,67,70.0,0.0,14.0,425.0,1929.0,0.43,8.6,10.5
141,2,2007-07-10,89,70,80.0,6.0,67,71.0,0.0,15.0,425.0,1929.0,0.08,8.2,10.2
142,1,2007-07-11,77,62,70.0,-3.0,51,59.0,0.0,5.0,426.0,1928.0,0.0,8.8,10.9
143,2,2007-07-11,77,63,70.0,-3.0,51,59.0,0.0,5.0,426.0,1928.0,0.0,9.1,11.2
144,1,2007-07-12,80,61,71.0,-2.0,51,59.0,0.0,6.0,427.0,1928.0,0.0,9.4,11.1
145,2,2007-07-12,80,60,70.0,-2.0,51,60.0,0.0,5.0,427.0,1928.0,0.0,10.0,11.4
146,1,2007-07-13,78,58,68.0,-5.0,52,58.0,0.0,3.0,428.0,1927.0,0.0,1.4,5.3
147,2,2007-07-13,74,59,67.0,-5.0,53,59.0,0.0,2.0,428.0,1927.0,0.0,2.0,5.8
148,1,2007-07-14,84,61,73.0,0.0,55,62.0,0.0,8.0,428.0,1927.0,0.0,8.3,13.2
149,2,2007-07-14,85,62,74.0,0.0,55,62.0,0.0,9.0,428.0,1927.0,0.0,8.4,13.9
150,1,2007-07-15,82,60,71.0,-3.0,53,61.0,0.0,6.0,429.0,1926.0,0.0,2.1,4.9
151,2,2007-07-15,80,64,72.0,-3.0,52,61.0,0.0,7.0,429.0,1926.0,0.0,1.2,6.5
152,1,2007-07-16,82,65,74.0,0.0,60,65.0,0.0,9.0,430.0,1925.0,0.39,4.4,5.2
153,2,2007-07-16,82,66,74.0,0.0,60,65.0,0.0,9.0,430.0,1925.0,0.07,5.6,6.6
154,1,2007-07-17,83,68,76.0,2.0,66,69.0,0.0,11.0,431.0,1925.0,0.11,5.2,6.5
155,2,2007-07-17,83,69,76.0,2.0,65,69.0,0.0,11.0,431.0,1925.0,0.11,6.3,7.4
156,1,2007-07-18,85,69,77.0,3.0,68,71.0,0.0,12.0,432.0,1924.0,1.55,9.1,10.1
157,2,2007-07-18,85,69,77.0,3.0,69,71.0,0.0,12.0,432.0,1924.0,0.92,10.3,10.6
158,1,2007-07-19,83,63,73.0,-1.0,63,66.0,0.0,8.0,433.0,1923.0,0.16,7.0,11.9
159,2,2007-07-19,82,63,73.0,-1.0,62,66.0,0.0,8.0,433.0,1923.0,0.01,7.7,14.4
160,1,2007-07-20,75,58,67.0,-7.0,53,59.0,0.0,2.0,433.0,1923.0,0.0,8.6,9.1
161,2,2007-07-20,74,62,68.0,-7.0,52,59.0,0.0,3.0,433.0,1923.0,0.0,11.3,11.5
162,1,2007-07-21,74,58,66.0,-8.0,52,58.0,0.0,1.0,434.0,1922.0,0.0,6.5,7.4
163,2,2007-07-21,75,58,67.0,-8.0,52,59.0,0.0,2.0,434.0,1922.0,0.0,5.8,7.4
164,1,2007-07-22,81,58,70.0,-4.0,55,61.0,0.0,5.0,435.0,1921.0,0.0,1.7,3.3
165,2,2007-07-22,81,61,71.0,-4.0,54,61.0,0.0,6.0,435.0,1921.0,0.0,1.9,3.5
166,1,2007-07-23,83,60,72.0,-2.0,55,63.0,0.0,7.0,436.0,1920.0,0.0,3.2,4.0
167,2,2007-07-23,82,63,73.0,-2.0,55,63.0,0.0,8.0,436.0,1920.0,0.0,2.9,3.9
168,1,2007-07-24,82,65,74.0,0.0,58,64.0,0.0,9.0,437.0,1919.0,0.0,3.1,5.2
169,2,2007-07-24,82,65,74.0,0.0,57,64.0,0.0,9.0,437.0,1919.0,0.001,1.1,4.9
170,1,2007-07-25,85,71,78.0,4.0,61,67.0,0.0,13.0,438.0,1918.0,0.001,5.8,6.6
171,2,2007-07-25,83,70,77.0,4.0,60,66.0,0.0,12.0,438.0,1918.0,0.0,6.4,7.0
172,1,2007-07-26,83,66,75.0,1.0,65,68.0,0.0,10.0,439.0,1918.0,0.19,7.2,9.4
173,2,2007-07-26,84,64,74.0,1.0,65,68.0,0.0,9.0,439.0,1918.0,0.89,7.2,9.9
174,1,2007-07-27,83,70,77.0,3.0,68,70.0,0.0,12.0,440.0,1917.0,0.17,3.0,7.9
175,2,2007-07-27,83,70,77.0,3.0,67,70.0,0.0,12.0,440.0,1917.0,0.04,1.2,8.1
176,1,2007-07-28,80,66,73.0,-1.0,65,68.0,0.0,8.0,441.0,1916.0,0.0,10.0,10.2
177,2,2007-07-28,80,70,75.0,-1.0,65,68.0,0.0,10.0,441.0,1916.0,0.0,10.6,10.7
178,1,2007-07-29,85,63,74.0,0.0,57,64.0,0.0,9.0,442.0,1915.0,0.0,4.8,5.7
179,2,2007-07-29,85,67,76.0,0.0,56,64.0,0.0,11.0,442.0,1915.0,0.0,6.3,6.9
180,1,2007-07-30,89,62,76.0,2.0,55,64.0,0.0,11.0,443.0,1914.0,0.0,3.8,4.3
181,2,2007-07-30,86,65,76.0,2.0,57,65.0,0.0,11.0,443.0,1914.0,0.0,3.1,4.6
182,1,2007-07-31,91,68,80.0,6.0,61,68.0,0.0,15.0,444.0,1913.0,0.0,3.3,4.9
183,2,2007-07-31,89,69,79.0,6.0,60,68.0,0.0,14.0,444.0,1913.0,0.0,4.0,5.0
184,1,2007-08-01,92,69,81.0,8.0,62,69.0,0.0,16.0,445.0,1911.0,0.0,3.5,4.1
185,2,2007-08-01,91,69,80.0,8.0,63,70.0,0.0,15.0,445.0,1911.0,0.0,2.1,3.7
186,1,2007-08-02,91,70,81.0,8.0,66,71.0,0.0,16.0,446.0,1910.0,0.0,5.5,5.9
187,2,2007-08-02,91,73,82.0,8.0,66,72.0,0.0,17.0,446.0,1910.0,0.0,6.5,7.2
188,1,2007-08-03,90,69,80.0,7.0,56,66.0,0.0,15.0,447.0,1909.0,0.0,2.7,5.7
189,2,2007-08-03,88,73,81.0,7.0,58,67.0,0.0,16.0,447.0,1909.0,0.0,3.3,5.8
190,1,2007-08-04,81,64,73.0,0.0,58,64.0,0.0,8.0,448.0,1908.0,0.03,5.7,6.1
191,2,2007-08-04,81,68,75.0,0.0,58,65.0,0.0,10.0,448.0,1908.0,0.02,5.9,6.6
192,1,2007-08-05,88,67,78.0,5.0,71,73.0,0.0,13.0,449.0,1907.0,1.43,5.4,9.6
193,2,2007-08-05,88,68,78.0,5.0,71,72.0,0.0,13.0,449.0,1907.0,0.97,7.0,10.2
194,1,2007-08-06,88,74,81.0,8.0,72,74.0,0.0,16.0,450.0,1906.0,0.26,1.6,4.9
195,2,2007-08-06,85,75,80.0,8.0,72,74.0,0.0,15.0,450.0,1906.0,0.05,2.6,4.6
196,1,2007-08-07,91,72,82.0,9.0,73,76.0,0.0,17.0,451.0,1904.0,1.31,6.2,9.0
197,2,2007-08-07,92,73,83.0,9.0,73,76.0,0.0,18.0,451.0,1904.0,0.06,6.3,8.8
198,1,2007-08-08,87,73,80.0,7.0,71,73.0,0.0,15.0,452.0,1903.0,0.06,3.0,6.9
199,2,2007-08-08,87,74,81.0,7.0,72,74.0,0.0,16.0,452.0,1903.0,0.09,1.5,6.4
200,1,2007-08-09,84,72,78.0,5.0,71,73.0,0.0,13.0,453.0,1902.0,0.05,2.5,6.0
201,2,2007-08-09,85,73,79.0,5.0,71,73.0,0.0,14.0,453.0,1902.0,0.46,3.1,6.3
202,1,2007-08-10,86,70,78.0,5.0,68,72.0,0.0,13.0,454.0,1900.0,0.0,4.5,5.9
203,2,2007-08-10,86,73,80.0,5.0,69,72.0,0.0,15.0,454.0,1900.0,0.0,3.0,5.4
204,1,2007-08-11,89,67,78.0,5.0,65,70.0,0.0,13.0,455.0,1859.0,0.0,3.2,3.9
205,2,2007-08-11,88,68,78.0,5.0,65,70.0,0.0,13.0,455.0,1859.0,0.0,3.1,3.9
206,1,2007-08-12,88,67,78.0,5.0,67,71.0,0.0,13.0,456.0,1858.0,0.29,1.7,5.4
207,2,2007-08-12,87,68,78.0,5.0,67,70.0,0.0,13.0,456.0,1858.0,0.23,1.9,6.6
208,1,2007-08-13,81,65,73.0,0.0,57,64.0,0.0,8.0,457.0,1856.0,0.0,6.2,6.9
209,2,2007-08-13,80,69,75.0,0.0,54,63.0,0.0,10.0,457.0,1856.0,0.0,6.9,7.7
210,1,2007-08-14,84,65,75.0,3.0,67,70.0,0.0,10.0,458.0,1855.0,0.41,5.9,8.0
211,2,2007-08-14,84,65,75.0,3.0,66,69.0,0.0,10.0,458.0,1855.0,0.45,6.4,9.0
212,1,2007-08-15,80,71,76.0,4.0,67,70.0,0.0,11.0,459.0,1854.0,0.23,3.4,5.8
213,2,2007-08-15,81,72,77.0,4.0,69,71.0,0.0,12.0,459.0,1854.0,0.83,4.9,7.1
214,1,2007-08-16,77,65,71.0,-1.0,64,67.0,0.0,6.0,500.0,1852.0,0.0,3.6,5.7
215,2,2007-08-16,77,67,72.0,-1.0,65,68.0,0.0,7.0,500.0,1852.0,0.0,3.5,5.7
216,1,2007-08-17,79,60,70.0,-2.0,54,61.0,0.0,5.0,501.0,1851.0,0.0,5.9,6.8
217,2,2007-08-17,80,65,73.0,-2.0,54,62.0,0.0,8.0,501.0,1851.0,0.0,6.1,7.4
218,1,2007-08-18,68,59,64.0,-8.0,54,58.0,1.0,0.0,502.0,1849.0,0.09,6.4,8.1
219,2,2007-08-18,69,60,65.0,-8.0,54,58.0,0.0,0.0,502.0,1849.0,0.42,6.1,7.0
220,1,2007-08-19,68,62,65.0,-6.0,62,64.0,0.0,0.0,503.0,1848.0,1.33,6.0,7.4
221,2,2007-08-19,69,62,66.0,-6.0,63,64.0,0.0,1.0,503.0,1848.0,1.33,5.5,7.5
222,1,2007-08-20,78,68,73.0,2.0,68,69.0,0.0,8.0,504.0,1846.0,0.91,0.5,5.7
223,2,2007-08-20,76,68,72.0,2.0,69,70.0,0.0,7.0,504.0,1846.0,0.48,2.4,5.9
224,1,2007-08-21,87,69,78.0,7.0,70,72.0,0.0,13.0,505.0,1845.0,0.001,3.8,6.0
225,2,2007-08-21,85,69,77.0,7.0,70,72.0,0.0,12.0,505.0,1845.0,0.01,3.5,6.0
226,1,2007-08-22,90,69,80.0,9.0,71,73.0,0.0,15.0,506.0,1843.0,0.37,5.3,9.5
227,2,2007-08-22,90,70,80.0,9.0,70,73.0,0.0,15.0,506.0,1843.0,0.88,5.1,8.4
228,1,2007-08-23,87,69,78.0,7.0,69,71.0,0.0,13.0,508.0,1842.0,2.35,9.6,11.7
229,2,2007-08-23,89,70,80.0,7.0,69,71.0,0.0,15.0,508.0,1842.0,1.96,6.7,9.1
230,1,2007-08-24,80,69,75.0,4.0,67,69.0,0.0,10.0,509.0,1840.0,0.24,5.8,7.1
231,2,2007-08-24,81,69,75.0,4.0,67,69.0,0.0,10.0,509.0,1840.0,0.2,5.5,7.3
232,1,2007-08-25,79,64,72.0,2.0,63,66.0,0.0,7.0,510.0,1839.0,0.34,3.0,5.6
233,2,2007-08-25,76,65,71.0,2.0,63,66.0,0.0,6.0,510.0,1839.0,0.25,2.4,6.4
234,1,2007-08-26,79,60,70.0,0.0,55,61.0,0.0,5.0,511.0,1837.0,0.0,3.6,5.4
235,2,2007-08-26,78,61,70.0,0.0,55,62.0,0.0,5.0,511.0,1837.0,0.0,3.7,4.6
236,1,2007-08-27,79,60,70.0,0.0,60,64.0,0.0,5.0,512.0,1835.0,0.0,6.5,7.4
