,Species,Trap,Longitude,Latitude,Station
35,CULEX PIPIENS,T227,-87.60096300000002,41.728495,2
36,CULEX RESTUANS,T227,-87.60096300000002,41.728495,2
37,CULEX PIPIENS,T107,-87.582699,41.729669,2
38,CULEX PIPIENS/RESTUANS,T107,-87.582699,41.729669,2
39,CULEX PIPIENS/RESTUANS,T044,-87.705085,41.883284,2
40,CULEX RESTUANS,T044,-87.705085,41.883284,2
41,CULEX PIPIENS,T044,-87.705085,41.883284,2
42,CULEX PIPIENS/RESTUANS,T232,-87.66805500000002,41.912563,2
43,CULEX RESTUANS,T232,-87.66805500000002,41.912563,2
44,CULEX PIPIENS,T232,-87.66805500000002,41.912563,2
45,CULEX RESTUANS,T145,-87.629798,41.878114,2
46,CULEX SALINARIUS,T145,-87.629798,41.878114,2
47,CULEX PIPIENS/RESTUANS,T145,-87.629798,41.878114,2
48,CULEX PIPIENS,T145,-87.629798,41.878114,2
49,CULEX TERRITANS,T145,-87.629798,41.878114,2
50,CULEX PIPIENS/RESTUANS,T142,-87.776792,41.953067,1
51,CULEX RESTUANS,T142,-87.776792,41.953067,1
52,CULEX PIPIENS,T142,-87.776792,41.953067,1
53,CULEX PIPIENS/RESTUANS,T006,-87.797127,41.990284,1
54,CULEX RESTUANS,T006,-87.797127,41.990284,1
55,CULEX PIPIENS,T006,-87.797127,41.990284,1
56,CULEX RESTUANS,T019,-87.69845699999998,41.94983,2
57,CULEX PIPIENS/RESTUANS,T019,-87.69845699999998,41.94983,2
58,CULEX PIPIENS,T019,-87.69845699999998,41.94983,2
59,CULEX RESTUANS,T220,-87.69181,41.963976,2
60,CULEX PIPIENS,T220,-87.69181,41.963976,2
61,CULEX PIPIENS/RESTUANS,T220,-87.69181,41.963976,2
62,CULEX TERRITANS,T220,-87.69181,41.963976,2
63,CULEX PIPIENS/RESTUANS,T054,-87.632085,41.921965,2
64,CULEX RESTUANS,T054,-87.632085,41.921965,2
65,CULEX PIPIENS,T054,-87.632085,41.921965,2
66,CULEX TERRITANS,T054,-87.632085,41.921965,2
67,CULEX SALINARIUS,T054,-87.632085,41.921965,2
68,CULEX PIPIENS/RESTUANS,T054C,-87.63359,41.925652,2
69,CULEX PIPIENS,T054C,-87.63359,41.925652,2
70,CULEX PIPIENS/RESTUANS,T030,-87.716788,41.89923,2
71,CULEX RESTUANS,T030,-87.716788,41.89923,2
72,CULEX PIPIENS,T030,-87.716788,41.89923,2
73,CULEX TERRITANS,T030,-87.716788,41.89923,2
74,CULEX TARSALIS,T030,-87.716788,41.89923,2
75,CULEX RESTUANS,T147,-87.700117,41.932094,2
76,CULEX PIPIENS/RESTUANS,T147,-87.700117,41.932094,2
77,CULEX PIPIENS,T147,-87.700117,41.932094,2
78,CULEX SALINARIUS,T147,-87.700117,41.932094,2
79,CULEX PIPIENS,T233,-87.807277,42.009876,1
80,CULEX PIPIENS/RESTUANS,T233,-87.807277,42.009876,1
81,CULEX RESTUANS,T233,-87.807277,42.009876,1
82,CULEX RESTUANS,T033,-87.701431,41.906638,2
83,CULEX PIPIENS/RESTUANS,T033,-87.701431,41.906638,2
84,CULEX PIPIENS,T033,-87.701431,41.906638,2
85,CULEX SALINARIUS,T033,-87.701431,41.906638,2
86,CULEX TERRITANS,T033,-87.701431,41.906638,2
87,CULEX PIPIENS/RESTUANS,T218,-87.730698,41.948167,2
88,CULEX RESTUANS,T218,-87.730698,41.948167,2
89,CULEX PIPIENS,T218,-87.730698,41.948167,2
90,CULEX PIPIENS/RESTUANS,T230,-87.756155,41.904194,2
91,CULEX RESTUANS,T230,-87.756155,41.904194,2
92,CULEX PIPIENS,T230,-87.756155,41.904194,2
93,CULEX TERRITANS,T230,-87.756155,41.904194,2
94,CULEX RESTUANS,T154,-87.752329,41.918705,2
95,CULEX PIPIENS/RESTUANS,T154,-87.752329,41.918705,2
96,CULEX PIPIENS,T154,-87.752329,41.918705,2
97,CULEX SALINARIUS,T154,-87.752329,41.918705,2
98,CULEX PIPIENS/RESTUANS,T012,-87.747113,41.991429,1
99,CULEX SALINARIUS,T012,-87.747113,41.991429,1
100,CULEX RESTUANS,T012,-87.747113,41.991429,1
101,CULEX PIPIENS,T012,-87.747113,41.991429,1
102,CULEX RESTUANS,T153,-87.760886,41.907645,2
103,CULEX PIPIENS/RESTUANS,T153,-87.760886,41.907645,2
104,CULEX PIPIENS,T153,-87.760886,41.907645,2
105,CULEX RESTUANS,T007,-87.769279,41.994991,1
106,CULEX PIPIENS/RESTUANS,T007,-87.769279,41.994991,1
107,CULEX PIPIENS,T007,-87.769279,41.994991,1
108,CULEX PIPIENS/RESTUANS,T236,-87.770899,41.994679,1
109,CULEX RESTUANS,T236,-87.770899,41.994679,1
110,CULEX PIPIENS,T236,-87.770899,41.994679,1
111,CULEX RESTUANS,T003,-87.757639,41.964242,1
112,CULEX PIPIENS/RESTUANS,T003,-87.757639,41.964242,1
113,CULEX PIPIENS,T003,-87.757639,41.964242,1
114,CULEX SALINARIUS,T003,-87.757639,41.964242,1
115,CULEX TERRITANS,T003,-87.757639,41.964242,1
116,CULEX PIPIENS,T223,-87.805059,41.973845,1
117,CULEX PIPIENS/RESTUANS,T223,-87.805059,41.973845,1
118,CULEX RESTUANS,T223,-87.805059,41.973845,1
119,CULEX TERRITANS,T223,-87.805059,41.973845,1
120,CULEX RESTUANS,T008,-87.77792099999998,42.008314,1
121,CULEX PIPIENS/RESTUANS,T008,-87.77792099999998,42.008314,1
122,CULEX PIPIENS,T008,-87.77792099999998,42.008314,1
123,CULEX SALINARIUS,T008,-87.77792099999998,42.008314,1
124,CULEX PIPIENS/RESTUANS,T002,-87.800991,41.95469,1
125,CULEX RESTUANS,T002,-87.800991,41.95469,1
126,CULEX PIPIENS,T002,-87.800991,41.95469,1
127,CULEX SALINARIUS,T002,-87.800991,41.95469,1
128,CULEX TERRITANS,T002,-87.800991,41.95469,1
129,CULEX PIPIENS/RESTUANS,T143,-87.795585,41.999129,1
130,CULEX RESTUANS,T143,-87.795585,41.999129,1
131,CULEX PIPIENS,T143,-87.795585,41.999129,1
132,CULEX PIPIENS/RESTUANS,T148,-87.68776899999997,42.01743,2
133,CULEX RESTUANS,T148,-87.68776899999997,42.01743,2
134,CULEX SALINARIUS,T148,-87.68776899999997,42.01743,2
135,CULEX PIPIENS,T148,-87.68776899999997,42.01743,2
136,CULEX TERRITANS,T148,-87.68776899999997,42.01743,2
137,CULEX RESTUANS,T016,-87.81150600000002,42.011601,1
138,CULEX PIPIENS/RESTUANS,T016,-87.81150600000002,42.011601,1
139,CULEX PIPIENS,T016,-87.81150600000002,42.011601,1
140,CULEX TERRITANS,T016,-87.81150600000002,42.011601,1
141,CULEX RESTUANS,T011,-87.832763,41.944869,1
142,CULEX PIPIENS/RESTUANS,T011,-87.832763,41.944869,1
143,CULEX PIPIENS,T011,-87.832763,41.944869,1
144,CULEX TERRITANS,T011,-87.832763,41.944869,1
145,CULEX SALINARIUS,T011,-87.832763,41.944869,1
146,CULEX PIPIENS/RESTUANS,T039,-87.726737,41.911824,2
147,CULEX PIPIENS,T039,-87.726737,41.911824,2
148,CULEX RESTUANS,T039,-87.726737,41.911824,2
149,CULEX SALINARIUS,T039,-87.726737,41.911824,2
150,CULEX TERRITANS,T039,-87.726737,41.911824,2
151,CULEX PIPIENS/RESTUANS,T027,-87.728492,41.98480900000001,2
152,CULEX RESTUANS,T027,-87.728492,41.98480900000001,2
153,CULEX PIPIENS,T027,-87.728492,41.98480900000001,2
154,CULEX TERRITANS,T027,-87.728492,41.98480900000001,2
155,CULEX SALINARIUS,T027,-87.728492,41.98480900000001,2
156,CULEX PIPIENS/RESTUANS,T146,-87.702575,41.958271,2
157,CULEX RESTUANS,T146,-87.702575,41.958271,2
158,CULEX PIPIENS,T146,-87.702575,41.958271,2
159,CULEX SALINARIUS,T146,-87.702575,41.958271,2
160,CULEX PIPIENS/RESTUANS,T231,-87.666066,41.98728,2
161,CULEX RESTUANS,T231,-87.666066,41.98728,2
162,CULEX PIPIENS,T231,-87.666066,41.98728,2
163,CULEX PIPIENS/RESTUANS,T144,-87.794896,41.94016,1
164,CULEX RESTUANS,T144,-87.794896,41.94016,1
165,CULEX PIPIENS,T144,-87.794896,41.94016,1
166,CULEX TERRITANS,T144,-87.794896,41.94016,1
167,CULEX SALINARIUS,T144,-87.794896,41.94016,1
168,CULEX PIPIENS/RESTUANS,T228,-87.72505699999998,41.951866,2
169,CULEX RESTUANS,T228,-87.72505699999998,41.951866,2
170,CULEX PIPIENS,T228,-87.72505699999998,41.951866,2
171,CULEX TERRITANS,T228,-87.72505699999998,41.951866,2
172,CULEX PIPIENS/RESTUANS,T050,-87.694259,41.919343,2
173,CULEX RESTUANS,T050,-87.694259,41.919343,2
174,CULEX PIPIENS,T050,-87.694259,41.919343,2
175,CULEX PIPIENS/RESTUANS,T129,-87.61156,41.891126,2
176,CULEX RESTUANS,T129,-87.61156,41.891126,2
177,CULEX PIPIENS,T129,-87.61156,41.891126,2
178,CULEX TERRITANS,T129,-87.61156,41.891126,2
179,CULEX PIPIENS/RESTUANS,T001,-87.733974,41.953705,2
180,CULEX PIPIENS,T001,-87.733974,41.953705,2
181,CULEX TERRITANS,T001,-87.733974,41.953705,2
182,CULEX RESTUANS,T028,-87.689778,41.986921,2
183,CULEX PIPIENS/RESTUANS,T028,-87.689778,41.986921,2
184,CULEX PIPIENS,T028,-87.689778,41.986921,2
185,CULEX SALINARIUS,T028,-87.689778,41.986921,2
186,CULEX PIPIENS/RESTUANS,T160,-87.68826700000002,41.903002,2
187,CULEX PIPIENS,T160,-87.68826700000002,41.903002,2
188,CULEX RESTUANS,T160,-87.68826700000002,41.903002,2
189,CULEX TERRITANS,T160,-87.68826700000002,41.903002,2
190,CULEX SALINARIUS,T160,-87.68826700000002,41.903002,2
191,CULEX PIPIENS/RESTUANS,T090,-87.666901,41.868077,2
192,CULEX RESTUANS,T090,-87.666901,41.868077,2
193,CULEX PIPIENS,T090,-87.666901,41.868077,2
194,CULEX TERRITANS,T090,-87.666901,41.868077,2
195,CULEX RESTUANS,T074,-87.66634300000003,41.822536,2
196,CULEX PIPIENS,T074,-87.66634300000003,41.822536,2
197,CULEX PIPIENS/RESTUANS,T074,-87.66634300000003,41.822536,2
198,CULEX TERRITANS,T074,-87.66634300000003,41.822536,2
199,CULEX PIPIENS,T100,-87.531657,41.717753,2
200,CULEX PIPIENS/RESTUANS,T100,-87.531657,41.717753,2
201,CULEX RESTUANS,T100,-87.531657,41.717753,2
202,CULEX PIPIENS,T103,-87.536497,41.702724,2
203,CULEX PIPIENS/RESTUANS,T103,-87.536497,41.702724,2
204,CULEX RESTUANS,T103,-87.536497,41.702724,2
205,CULEX TERRITANS,T103,-87.536497,41.702724,2
206,CULEX SALINARIUS,T103,-87.536497,41.702724,2
207,CULEX PIPIENS,T209,-87.546587,41.740641,2
208,CULEX PIPIENS/RESTUANS,T209,-87.546587,41.740641,2
209,CULEX RESTUANS,T209,-87.546587,41.740641,2
210,CULEX TERRITANS,T209,-87.546587,41.740641,2
211,CULEX TARSALIS,T209,-87.546587,41.740641,2
212,CULEX PIPIENS/RESTUANS,T047,-87.696269,41.868142,2
213,CULEX RESTUANS,T047,-87.696269,41.868142,2
214,CULEX PIPIENS,T047,-87.696269,41.868142,2
215,CULEX SALINARIUS,T047,-87.696269,41.868142,2
216,CULEX TERRITANS,T047,-87.696269,41.868142,2
217,CULEX PIPIENS,T088,-87.69629300000003,41.869107,2
218,CULEX PIPIENS/RESTUANS,T088,-87.69629300000003,41.869107,2
219,CULEX RESTUANS,T088,-87.69629300000003,41.869107,2
220,CULEX RESTUANS,T159,-87.649642,41.732984,2
221,CULEX PIPIENS,T159,-87.649642,41.732984,2
222,CULEX PIPIENS/RESTUANS,T159,-87.649642,41.732984,2
223,CULEX TERRITANS,T159,-87.649642,41.732984,2
224,CULEX SALINARIUS,T159,-87.649642,41.732984,2
225,CULEX PIPIENS/RESTUANS,T031,-87.763416,41.801498,2
226,CULEX PIPIENS,T031,-87.763416,41.801498,2
227,CULEX RESTUANS,T031,-87.763416,41.801498,2
228,CULEX TERRITANS,T031,-87.763416,41.801498,2
229,CULEX PIPIENS/RESTUANS,T083,-87.590773,41.754292,2
230,CULEX RESTUANS,T083,-87.590773,41.754292,2
231,CULEX PIPIENS,T083,-87.590773,41.754292,2
232,CULEX TERRITANS,T083,-87.590773,41.754292,2
233,CULEX PIPIENS/RESTUANS,T067,-87.745602,41.759346,2
234,CULEX RESTUANS,T067,-87.745602,41.759346,2
235,CULEX PIPIENS,T067,-87.745602,41.759346,2
236,CULEX SALINARIUS,T067,-87.745602,41.759346,2
237,CULEX TERRITANS,T067,-87.745602,41.759346,2
238,CULEX SALINARIUS,T075,-87.585487,41.799282,2
239,CULEX PIPIENS,T075,-87.585487,41.799282,2
240,CULEX PIPIENS/RESTUANS,T075,-87.585487,41.799282,2
241,CULEX RESTUANS,T075,-87.585487,41.799282,2
242,CULEX TERRITANS,T075,-87.585487,41.799282,2
243,CULEX PIPIENS,T102,-87.605294,41.750498,2
244,CULEX PIPIENS/RESTUANS,T102,-87.605294,41.750498,2
245,CULEX RESTUANS,T102,-87.605294,41.750498,2
246,CULEX SALINARIUS,T102,-87.605294,41.750498,2
247,CULEX PIPIENS/RESTUANS,T081,-87.62779599999998,41.821582,2
248,CULEX RESTUANS,T081,-87.62779599999998,41.821582,2
249,CULEX PIPIENS,T081,-87.62779599999998,41.821582,2
250,CULEX TERRITANS,T081,-87.62779599999998,41.821582,2
251,CULEX PIPIENS/RESTUANS,T115,-87.599862,41.673408,2
252,CULEX PIPIENS,T115,-87.599862,41.673408,2
253,CULEX SALINARIUS,T115,-87.599862,41.673408,2
254,CULEX TERRITANS,T115,-87.599862,41.673408,2
255,CULEX RESTUANS,T115,-87.599862,41.673408,2
256,CULEX PIPIENS/RESTUANS,T162,-87.61425799999998,41.725517,2
257,CULEX RESTUANS,T162,-87.61425799999998,41.725517,2
258,CULEX PIPIENS,T162,-87.61425799999998,41.725517,2
259,CULEX RESTUANS,T076,-87.615989,41.794781,2
260,CULEX PIPIENS/RESTUANS,T076,-87.615989,41.794781,2
261,CULEX TERRITANS,T076,-87.615989,41.794781,2
262,CULEX PIPIENS/RESTUANS,T080,-87.612922,41.754676,2
263,CULEX RESTUANS,T080,-87.612922,41.754676,2
264,CULEX PIPIENS,T080,-87.612922,41.754676,2
265,CULEX TERRITANS,T080,-87.612922,41.754676,2
266,CULEX PIPIENS/RESTUANS,T040,-87.719887,41.852652,2
267,CULEX RESTUANS,T040,-87.719887,41.852652,2
268,CULEX PIPIENS/RESTUANS,T161,-87.675088,41.719059,2
269,CULEX RESTUANS,T161,-87.675088,41.719059,2
270,CULEX PIPIENS,T161,-87.675088,41.719059,2
271,CULEX PIPIENS/RESTUANS,T035,-87.677737,41.836644,2
272,CULEX RESTUANS,T035,-87.677737,41.836644,2
273,CULEX PIPIENS,T035,-87.677737,41.836644,2
274,CULEX TERRITANS,T035,-87.677737,41.836644,2
275,CULEX PIPIENS/RESTUANS,T066,-87.703047,41.77166,2
276,CULEX RESTUANS,T066,-87.703047,41.77166,2
277,CULEX PIPIENS,T066,-87.703047,41.77166,2
278,CULEX TERRITANS,T066,-87.703047,41.77166,2
279,CULEX PIPIENS/RESTUANS,T072,-87.70271600000002,41.74785,2
280,CULEX RESTUANS,T072,-87.70271600000002,41.74785,2
281,CULEX PIPIENS,T072,-87.70271600000002,41.74785,2
282,CULEX TERRITANS,T072,-87.70271600000002,41.74785,2
283,CULEX PIPIENS,T156,-87.740029,41.772846,2
284,CULEX PIPIENS/RESTUANS,T156,-87.740029,41.772846,2
285,CULEX RESTUANS,T156,-87.740029,41.772846,2
286,CULEX TERRITANS,T156,-87.740029,41.772846,2
287,CULEX PIPIENS/RESTUANS,T114,-87.736812,41.798697,2
288,CULEX RESTUANS,T114,-87.736812,41.798697,2
289,CULEX PIPIENS,T114,-87.736812,41.798697,2
290,CULEX TERRITANS,T114,-87.736812,41.798697,2
291,CULEX PIPIENS,T225,-87.731435,41.743402,2
292,CULEX PIPIENS/RESTUANS,T225,-87.731435,41.743402,2
293,CULEX RESTUANS,T225,-87.731435,41.743402,2
294,CULEX SALINARIUS,T225,-87.731435,41.743402,2
295,CULEX PIPIENS/RESTUANS,T094B,-87.669539,41.71914,2
296,CULEX RESTUANS,T094B,-87.669539,41.71914,2
297,CULEX PIPIENS,T206,-87.54306700000002,41.737052,2
298,CULEX PIPIENS/RESTUANS,T206,-87.54306700000002,41.737052,2
299,CULEX RESTUANS,T206,-87.54306700000002,41.737052,2
300,CULEX TERRITANS,T206,-87.54306700000002,41.737052,2
301,CULEX PIPIENS/RESTUANS,T071,-87.77653199999997,41.781416,2
302,CULEX PIPIENS,T071,-87.77653199999997,41.781416,2
303,CULEX RESTUANS,T071,-87.77653199999997,41.781416,2
304,CULEX RESTUANS,T152,-87.716277,41.846075,2
305,CULEX PIPIENS/RESTUANS,T152,-87.716277,41.846075,2
306,CULEX PIPIENS,T152,-87.716277,41.846075,2
307,CULEX TERRITANS,T152,-87.716277,41.846075,2
308,CULEX PIPIENS,T099,-87.55551,41.733643,2
309,CULEX PIPIENS/RESTUANS,T099,-87.55551,41.733643,2
310,CULEX RESTUANS,T099,-87.55551,41.733643,2
311,CULEX PIPIENS/RESTUANS,T070,-87.797894,41.797616,2
312,CULEX RESTUANS,T070,-87.797894,41.797616,2
313,CULEX PIPIENS,T070,-87.797894,41.797616,2
314,CULEX RESTUANS,T091,-87.64886,41.862292,2
315,CULEX PIPIENS/RESTUANS,T091,-87.64886,41.862292,2
316,CULEX PIPIENS,T091,-87.64886,41.862292,2
317,CULEX TERRITANS,T091,-87.64886,41.862292,2
318,CULEX PIPIENS,T063,-87.726549,41.82561,2
319,CULEX PIPIENS/RESTUANS,T063,-87.726549,41.82561,2
320,CULEX RESTUANS,T063,-87.726549,41.82561,2
321,CULEX SALINARIUS,T063,-87.726549,41.82561,2
322,CULEX TERRITANS,T063,-87.726549,41.82561,2
323,CULEX TARSALIS,T063,-87.726549,41.82561,2
324,CULEX PIPIENS/RESTUANS,T078,-87.65535600000003,41.775051,2
325,CULEX PIPIENS,T078,-87.65535600000003,41.775051,2
326,CULEX PIPIENS/RESTUANS,T079,-87.562889,41.766202,2
327,CULEX RESTUANS,T079,-87.562889,41.766202,2
328,CULEX PIPIENS,T079,-87.562889,41.766202,2
329,CULEX TERRITANS,T079,-87.562889,41.766202,2
330,CULEX PIPIENS/RESTUANS,T092,-87.627561,41.869216,2
331,CULEX RESTUANS,T092,-87.627561,41.869216,2
332,CULEX PIPIENS,T092,-87.627561,41.869216,2
333,CULEX RESTUANS,T077,-87.586427,41.778748,2
334,CULEX PIPIENS,T077,-87.586427,41.778748,2
335,CULEX PIPIENS/RESTUANS,T077,-87.586427,41.778748,2
336,CULEX PIPIENS/RESTUANS,T138,-87.585413,41.72646500000001,2
337,CULEX RESTUANS,T138,-87.585413,41.72646500000001,2
338,CULEX SALINARIUS,T138,-87.585413,41.72646500000001,2
339,CULEX PIPIENS,T138,-87.585413,41.72646500000001,2
340,CULEX TERRITANS,T138,-87.585413,41.72646500000001,2
341,CULEX PIPIENS/RESTUANS,T051,-87.656913,41.846283,2
342,CULEX PIPIENS,T051,-87.656913,41.846283,2
343,CULEX PIPIENS,T200,-87.559308,41.678618,2
344,CULEX PIPIENS/RESTUANS,T200,-87.559308,41.678618,2
345,CULEX RESTUANS,T200,-87.559308,41.678618,2
346,CULEX TERRITANS,T200,-87.559308,41.678618,2
347,CULEX SALINARIUS,T200,-87.559308,41.678618,2
348,CULEX TARSALIS,T200,-87.559308,41.678618,2
349,CULEX PIPIENS,T082,-87.642984,41.803423,2
350,CULEX PIPIENS/RESTUANS,T082,-87.642984,41.803423,2
351,CULEX RESTUANS,T082,-87.642984,41.803423,2
352,CULEX TARSALIS,T082,-87.642984,41.803423,2
353,CULEX RESTUANS,T089,-87.64997,41.723195,2
354,CULEX PIPIENS/RESTUANS,T089,-87.64997,41.723195,2
355,CULEX PIPIENS,T089,-87.64997,41.723195,2
356,CULEX SALINARIUS,T089,-87.64997,41.723195,2
357,CULEX TERRITANS,T089,-87.64997,41.723195,2
358,CULEX PIPIENS,T229,-87.63981700000002,41.753411,2
359,CULEX PIPIENS/RESTUANS,T229,-87.63981700000002,41.753411,2
360,CULEX RESTUANS,T229,-87.63981700000002,41.753411,2
361,CULEX RESTUANS,T034,-87.686763,41.843811,2
362,CULEX PIPIENS,T034,-87.686763,41.843811,2
363,CULEX PIPIENS/RESTUANS,T034,-87.686763,41.843811,2
364,CULEX TERRITANS,T034,-87.686763,41.843811,2
365,CULEX SALINARIUS,T034,-87.686763,41.843811,2
366,CULEX PIPIENS/RESTUANS,T095,-87.70373599999998,41.704336,2
367,CULEX PIPIENS,T095,-87.70373599999998,41.704336,2
368,CULEX RESTUANS,T095,-87.70373599999998,41.704336,2
369,CULEX PIPIENS/RESTUANS,T086,-87.676709,41.688324,2
370,CULEX RESTUANS,T086,-87.676709,41.688324,2
371,CULEX PIPIENS,T086,-87.676709,41.688324,2
372,CULEX SALINARIUS,T086,-87.676709,41.688324,2
373,CULEX TERRITANS,T086,-87.676709,41.688324,2
374,CULEX PIPIENS/RESTUANS,T158,-87.707973,41.682587,2
375,CULEX RESTUANS,T158,-87.707973,41.682587,2
376,CULEX PIPIENS,T158,-87.707973,41.682587,2
377,CULEX TERRITANS,T158,-87.707973,41.682587,2
378,CULEX PIPIENS,T135,-87.72460799999998,41.662014,2
379,CULEX PIPIENS/RESTUANS,T135,-87.72460799999998,41.662014,2
380,CULEX RESTUANS,T135,-87.72460799999998,41.662014,2
381,CULEX SALINARIUS,T135,-87.72460799999998,41.662014,2
382,CULEX TERRITANS,T135,-87.72460799999998,41.662014,2
383,CULEX RESTUANS,T043,-87.694991,41.857402,2
384,CULEX PIPIENS/RESTUANS,T043,-87.694991,41.857402,2
385,CULEX PIPIENS,T043,-87.694991,41.857402,2
386,CULEX PIPIENS/RESTUANS,T036,-87.729384,41.837085,2
387,CULEX PIPIENS,T036,-87.729384,41.837085,2
388,CULEX RESTUANS,T036,-87.729384,41.837085,2
389,CULEX SALINARIUS,T036,-87.729384,41.837085,2
390,CULEX PIPIENS,T157,-87.667827,41.825902,2
391,CULEX PIPIENS/RESTUANS,T157,-87.667827,41.825902,2
392,CULEX RESTUANS,T157,-87.667827,41.825902,2
393,CULEX PIPIENS,T061,-87.679447,41.801179,2
394,CULEX PIPIENS/RESTUANS,T061,-87.679447,41.801179,2
395,CULEX RESTUANS,T061,-87.679447,41.801179,2
396,CULEX TERRITANS,T061,-87.679447,41.801179,2
397,CULEX PIPIENS,T062,-87.71188000000002,41.800737,2
398,CULEX PIPIENS/RESTUANS,T062,-87.71188000000002,41.800737,2
399,CULEX RESTUANS,T062,-87.71188000000002,41.800737,2
400,CULEX SALINARIUS,T062,-87.71188000000002,41.800737,2
401,CULEX TERRITANS,T062,-87.71188000000002,41.800737,2
402,CULEX PIPIENS,T065,-87.752411,41.778297,2
403,CULEX PIPIENS/RESTUANS,T065,-87.752411,41.778297,2
404,CULEX TERRITANS,T065,-87.752411,41.778297,2
405,CULEX RESTUANS,T065,-87.752411,41.778297,2
406,CULEX SALINARIUS,T065,-87.752411,41.778297,2
407,CULEX PIPIENS/RESTUANS,T155,-87.778927,41.776156,2
408,CULEX PIPIENS,T155,-87.778927,41.776156,2
409,CULEX RESTUANS,T155,-87.778927,41.776156,2
410,CULEX SALINARIUS,T155,-87.778927,41.776156,2
411,CULEX TERRITANS,T155,-87.778927,41.776156,2
412,CULEX PIPIENS/RESTUANS,T235,-87.627096,41.776428,2
413,CULEX RESTUANS,T235,-87.627096,41.776428,2
414,CULEX TERRITANS,T235,-87.627096,41.776428,2
415,CULEX PIPIENS,T235,-87.627096,41.776428,2
416,CULEX SALINARIUS,T235,-87.627096,41.776428,2
417,CULEX PIPIENS/RESTUANS,T069,-87.678649,41.768388,2
418,CULEX RESTUANS,T069,-87.678649,41.768388,2
419,CULEX PIPIENS,T069,-87.678649,41.768388,2
420,CULEX TERRITANS,T069,-87.678649,41.768388,2
421,CULEX PIPIENS/RESTUANS,T035A,-87.742302,41.763733,2
422,CULEX RESTUANS,T035A,-87.742302,41.763733,2
423,CULEX PIPIENS,T035A,-87.742302,41.763733,2
424,CULEX TERRITANS,T035A,-87.742302,41.763733,2
425,CULEX PIPIENS/RESTUANS,T238,-87.707394,41.753391,2
426,CULEX RESTUANS,T238,-87.707394,41.753391,2
427,CULEX TERRITANS,T238,-87.707394,41.753391,2
428,CULEX PIPIENS,T238,-87.707394,41.753391,2
429,CULEX PIPIENS/RESTUANS,T237,-87.69544300000003,41.738903,2
430,CULEX PIPIENS,T096,-87.677512,41.731922,2
431,CULEX RESTUANS,T096,-87.677512,41.731922,2
432,CULEX PIPIENS/RESTUANS,T096,-87.677512,41.731922,2
433,CULEX SALINARIUS,T096,-87.677512,41.731922,2
434,CULEX TERRITANS,T096,-87.677512,41.731922,2
435,CULEX RESTUANS,T094,-87.666014,41.720848,2
436,CULEX PIPIENS/RESTUANS,T094,-87.666014,41.720848,2
437,CULEX PIPIENS,T094,-87.666014,41.720848,2
438,CULEX TERRITANS,T094,-87.666014,41.720848,2
439,CULEX SALINARIUS,T094,-87.666014,41.720848,2
440,CULEX RESTUANS,T085,-87.648064,41.721474,2
441,CULEX PIPIENS,T085,-87.648064,41.721474,2
