,Species,Trap,Longitude,Latitude
60,CULEX PIPIENS,T220,-87.69181,41.963976
61,CULEX PIPIENS/RESTUANS,T220,-87.69181,41.963976
62,CULEX TERRITANS,T220,-87.69181,41.963976
63,CULEX PIPIENS/RESTUANS,T054,-87.632085,41.921965
64,CULEX RESTUANS,T054,-87.632085,41.921965
65,CULEX PIPIENS,T054,-87.632085,41.921965
66,CULEX TERRITANS,T054,-87.632085,41.921965
67,CULEX SALINARIUS,T054,-87.632085,41.921965
68,CULEX PIPIENS/RESTUANS,T054C,-87.63359,41.925652
69,CULEX PIPIENS,T054C,-87.63359,41.925652
70,CULEX PIPIENS/RESTUANS,T030,-87.716788,41.899229999999996
71,CULEX RESTUANS,T030,-87.716788,41.899229999999996
72,CULEX PIPIENS,T030,-87.716788,41.899229999999996
73,CULEX TERRITANS,T030,-87.716788,41.899229999999996
74,CULEX TARSALIS,T030,-87.716788,41.899229999999996
75,CULEX RESTUANS,T147,-87.700117,41.932094
76,CULEX PIPIENS/RESTUANS,T147,-87.700117,41.932094
77,CULEX PIPIENS,T147,-87.700117,41.932094
78,CULEX SALINARIUS,T147,-87.700117,41.932094
79,CULEX PIPIENS,T233,-87.807277,42.009876
80,CULEX PIPIENS/RESTUANS,T233,-87.807277,42.009876
81,CULEX RESTUANS,T233,-87.807277,42.009876
82,CULEX RESTUANS,T033,-87.701431,41.906638
83,CULEX PIPIENS/RESTUANS,T033,-87.701431,41.906638
84,CULEX PIPIENS,T033,-87.701431,41.906638
85,CULEX SALINARIUS,T033,-87.701431,41.906638
86,CULEX TERRITANS,T033,-87.701431,41.906638
87,CULEX PIPIENS/RESTUANS,T218,-87.730698,41.948167
88,CULEX RESTUANS,T218,-87.730698,41.948167
89,CULEX PIPIENS,T218,-87.730698,41.948167
90,CULEX PIPIENS/RESTUANS,T230,-87.756155,41.904194
91,CULEX RESTUANS,T230,-87.756155,41.904194
92,CULEX PIPIENS,T230,-87.756155,41.904194
93,CULEX TERRITANS,T230,-87.756155,41.904194
94,CULEX RESTUANS,T154,-87.752329,41.918704999999996
95,CULEX PIPIENS/RESTUANS,T154,-87.752329,41.918704999999996
96,CULEX PIPIENS,T154,-87.752329,41.918704999999996
97,CULEX SALINARIUS,T154,-87.752329,41.918704999999996
98,CULEX PIPIENS/RESTUANS,T012,-87.747113,41.991429
99,CULEX SALINARIUS,T012,-87.747113,41.991429
100,CULEX RESTUANS,T012,-87.747113,41.991429
101,CULEX PIPIENS,T012,-87.747113,41.991429
102,CULEX RESTUANS,T153,-87.760886,41.907645
103,CULEX PIPIENS/RESTUANS,T153,-87.760886,41.907645
104,CULEX PIPIENS,T153,-87.760886,41.907645
105,CULEX RESTUANS,T007,-87.769279,41.994991
106,CULEX PIPIENS/RESTUANS,T007,-87.769279,41.994991
107,CULEX PIPIENS,T007,-87.769279,41.994991
108,CULEX PIPIENS/RESTUANS,T236,-87.770899,41.994679
109,CULEX RESTUANS,T236,-87.770899,41.994679
110,CULEX PIPIENS,T236,-87.770899,41.994679
111,CULEX RESTUANS,T003,-87.757639,41.964242
112,CULEX PIPIENS/RESTUANS,T003,-87.757639,41.964242
113,CULEX PIPIENS,T003,-87.757639,41.964242
114,CULEX SALINARIUS,T003,-87.757639,41.964242
115,CULEX TERRITANS,T003,-87.757639,41.964242
116,CULEX PIPIENS,T223,-87.805059,41.973845000000004
117,CULEX PIPIENS/RESTUANS,T223,-87.805059,41.973845000000004
118,CULEX RESTUANS,T223,-87.805059,41.973845000000004
119,CULEX TERRITANS,T223,-87.805059,41.973845000000004
120,CULEX RESTUANS,T008,-87.77792099999999,42.008314
121,CULEX PIPIENS/RESTUANS,T008,-87.77792099999999,42.008314
122,CULEX PIPIENS,T008,-87.77792099999999,42.008314
123,CULEX SALINARIUS,T008,-87.77792099999999,42.008314
124,CULEX PIPIENS/RESTUANS,T002,-87.800991,41.95469
125,CULEX RESTUANS,T002,-87.800991,41.95469
126,CULEX PIPIENS,T002,-87.800991,41.95469
127,CULEX SALINARIUS,T002,-87.800991,41.95469
128,CULEX TERRITANS,T002,-87.800991,41.95469
129,CULEX PIPIENS/RESTUANS,T143,-87.795585,41.999128999999996
130,CULEX RESTUANS,T143,-87.795585,41.999128999999996
131,CULEX PIPIENS,T143,-87.795585,41.999128999999996
132,CULEX PIPIENS/RESTUANS,T148,-87.68776899999999,42.01743
133,CULEX RESTUANS,T148,-87.68776899999999,42.01743
134,CULEX SALINARIUS,T148,-87.68776899999999,42.01743
135,CULEX PIPIENS,T148,-87.68776899999999,42.01743
136,CULEX TERRITANS,T148,-87.68776899999999,42.01743
137,CULEX RESTUANS,T016,-87.81150600000001,42.011601
138,CULEX PIPIENS/RESTUANS,T016,-87.81150600000001,42.011601
139,CULEX PIPIENS,T016,-87.81150600000001,42.011601
140,CULEX TERRITANS,T016,-87.81150600000001,42.011601
141,CULEX RESTUANS,T011,-87.832763,41.944869
142,CULEX PIPIENS/RESTUANS,T011,-87.832763,41.944869
143,CULEX PIPIENS,T011,-87.832763,41.944869
144,CULEX TERRITANS,T011,-87.832763,41.944869
145,CULEX SALINARIUS,T011,-87.832763,41.944869
146,CULEX PIPIENS/RESTUANS,T039,-87.726737,41.911823999999996
147,CULEX PIPIENS,T039,-87.726737,41.911823999999996
148,CULEX RESTUANS,T039,-87.726737,41.911823999999996
149,CULEX SALINARIUS,T039,-87.726737,41.911823999999996
150,CULEX TERRITANS,T039,-87.726737,41.911823999999996
151,CULEX PIPIENS/RESTUANS,T027,-87.728492,41.984809000000006
152,CULEX RESTUANS,T027,-87.728492,41.984809000000006
153,CULEX PIPIENS,T027,-87.728492,41.984809000000006
154,CULEX TERRITANS,T027,-87.728492,41.984809000000006
155,CULEX SALINARIUS,T027,-87.728492,41.984809000000006
156,CULEX PIPIENS/RESTUANS,T146,-87.702575,41.958271
157,CULEX RESTUANS,T146,-87.702575,41.958271
158,CULEX PIPIENS,T146,-87.702575,41.958271
159,CULEX SALINARIUS,T146,-87.702575,41.958271
160,CULEX PIPIENS/RESTUANS,T231,-87.666066,41.98728
161,CULEX RESTUANS,T231,-87.666066,41.98728
162,CULEX PIPIENS,T231,-87.666066,41.98728
163,CULEX PIPIENS/RESTUANS,T144,-87.794896,41.94016
164,CULEX RESTUANS,T144,-87.794896,41.94016
165,CULEX PIPIENS,T144,-87.794896,41.94016
166,CULEX TERRITANS,T144,-87.794896,41.94016
167,CULEX SALINARIUS,T144,-87.794896,41.94016
168,CULEX PIPIENS/RESTUANS,T228,-87.72505699999999,41.951865999999995
169,CULEX RESTUANS,T228,-87.72505699999999,41.951865999999995
170,CULEX PIPIENS,T228,-87.72505699999999,41.951865999999995
171,CULEX TERRITANS,T228,-87.72505699999999,41.951865999999995
172,CULEX PIPIENS/RESTUANS,T050,-87.694259,41.919343
173,CULEX RESTUANS,T050,-87.694259,41.919343
174,CULEX PIPIENS,T050,-87.694259,41.919343
175,CULEX PIPIENS/RESTUANS,T129,-87.61156,41.891126
176,CULEX RESTUANS,T129,-87.61156,41.891126
177,CULEX PIPIENS,T129,-87.61156,41.891126
178,CULEX TERRITANS,T129,-87.61156,41.891126
179,CULEX PIPIENS/RESTUANS,T001,-87.733974,41.953705
180,CULEX PIPIENS,T001,-87.733974,41.953705
181,CULEX TERRITANS,T001,-87.733974,41.953705
182,CULEX RESTUANS,T028,-87.689778,41.986921
183,CULEX PIPIENS/RESTUANS,T028,-87.689778,41.986921
184,CULEX PIPIENS,T028,-87.689778,41.986921
185,CULEX SALINARIUS,T028,-87.689778,41.986921
186,CULEX PIPIENS/RESTUANS,T160,-87.68826700000001,41.903002
187,CULEX PIPIENS,T160,-87.68826700000001,41.903002
188,CULEX RESTUANS,T160,-87.68826700000001,41.903002
189,CULEX TERRITANS,T160,-87.68826700000001,41.903002
190,CULEX SALINARIUS,T160,-87.68826700000001,41.903002
191,CULEX PIPIENS/RESTUANS,T090,-87.666901,41.868077
192,CULEX RESTUANS,T090,-87.666901,41.868077
193,CULEX PIPIENS,T090,-87.666901,41.868077
194,CULEX TERRITANS,T090,-87.666901,41.868077
195,CULEX RESTUANS,T074,-87.66634300000001,41.822536
196,CULEX PIPIENS,T074,-87.66634300000001,41.822536
197,CULEX PIPIENS/RESTUANS,T074,-87.66634300000001,41.822536
198,CULEX TERRITANS,T074,-87.66634300000001,41.822536
199,CULEX PIPIENS,T100,-87.531657,41.717753
200,CULEX PIPIENS/RESTUANS,T100,-87.531657,41.717753
201,CULEX RESTUANS,T100,-87.531657,41.717753
202,CULEX PIPIENS,T103,-87.536497,41.702723999999996
203,CULEX PIPIENS/RESTUANS,T103,-87.536497,41.702723999999996
204,CULEX RESTUANS,T103,-87.536497,41.702723999999996
205,CULEX TERRITANS,T103,-87.536497,41.702723999999996
206,CULEX SALINARIUS,T103,-87.536497,41.702723999999996
207,CULEX PIPIENS,T209,-87.546587,41.740641
208,CULEX PIPIENS/RESTUANS,T209,-87.546587,41.740641
209,CULEX RESTUANS,T209,-87.546587,41.740641
210,CULEX TERRITANS,T209,-87.546587,41.740641
211,CULEX TARSALIS,T209,-87.546587,41.740641
212,CULEX PIPIENS/RESTUANS,T047,-87.696269,41.868142
213,CULEX RESTUANS,T047,-87.696269,41.868142
214,CULEX PIPIENS,T047,-87.696269,41.868142
215,CULEX SALINARIUS,T047,-87.696269,41.868142
216,CULEX TERRITANS,T047,-87.696269,41.868142
217,CULEX PIPIENS,T088,-87.69629300000001,41.869107
218,CULEX PIPIENS/RESTUANS,T088,-87.69629300000001,41.869107
219,CULEX RESTUANS,T088,-87.69629300000001,41.869107
220,CULEX RESTUANS,T159,-87.649642,41.732984
221,CULEX PIPIENS,T159,-87.649642,41.732984
222,CULEX PIPIENS/RESTUANS,T159,-87.649642,41.732984
223,CULEX TERRITANS,T159,-87.649642,41.732984
224,CULEX SALINARIUS,T159,-87.649642,41.732984
225,CULEX PIPIENS/RESTUANS,T031,-87.763416,41.801497999999995
226,CULEX PIPIENS,T031,-87.763416,41.801497999999995
227,CULEX RESTUANS,T031,-87.763416,41.801497999999995
228,CULEX TERRITANS,T031,-87.763416,41.801497999999995
229,CULEX PIPIENS/RESTUANS,T083,-87.590773,41.754292
230,CULEX RESTUANS,T083,-87.590773,41.754292
231,CULEX PIPIENS,T083,-87.590773,41.754292
232,CULEX TERRITANS,T083,-87.590773,41.754292
233,CULEX PIPIENS/RESTUANS,T067,-87.745602,41.759346
234,CULEX RESTUANS,T067,-87.745602,41.759346
235,CULEX PIPIENS,T067,-87.745602,41.759346
236,CULEX SALINARIUS,T067,-87.745602,41.759346
237,CULEX TERRITANS,T067,-87.745602,41.759346
238,CULEX SALINARIUS,T075,-87.585487,41.799282
239,CULEX PIPIENS,T075,-87.585487,41.799282
240,CULEX PIPIENS/RESTUANS,T075,-87.585487,41.799282
241,CULEX RESTUANS,T075,-87.585487,41.799282
242,CULEX TERRITANS,T075,-87.585487,41.799282
243,CULEX PIPIENS,T102,-87.605294,41.750498
244,CULEX PIPIENS/RESTUANS,T102,-87.605294,41.750498
245,CULEX RESTUANS,T102,-87.605294,41.750498
246,CULEX SALINARIUS,T102,-87.605294,41.750498
247,CULEX PIPIENS/RESTUANS,T081,-87.62779599999999,41.821582
248,CULEX RESTUANS,T081,-87.62779599999999,41.821582
249,CULEX PIPIENS,T081,-87.62779599999999,41.821582
250,CULEX TERRITANS,T081,-87.62779599999999,41.821582
251,CULEX PIPIENS/RESTUANS,T115,-87.599862,41.673408
252,CULEX PIPIENS,T115,-87.599862,41.673408
253,CULEX SALINARIUS,T115,-87.599862,41.673408
254,CULEX TERRITANS,T115,-87.599862,41.673408
255,CULEX RESTUANS,T115,-87.599862,41.673408
256,CULEX PIPIENS/RESTUANS,T162,-87.61425799999999,41.725516999999996
257,CULEX RESTUANS,T162,-87.61425799999999,41.725516999999996
258,CULEX PIPIENS,T162,-87.61425799999999,41.725516999999996
259,CULEX RESTUANS,T076,-87.615989,41.794781
260,CULEX PIPIENS/RESTUANS,T076,-87.615989,41.794781
261,CULEX TERRITANS,T076,-87.615989,41.794781
262,CULEX PIPIENS/RESTUANS,T080,-87.612922,41.754676
263,CULEX RESTUANS,T080,-87.612922,41.754676
264,CULEX PIPIENS,T080,-87.612922,41.754676
265,CULEX TERRITANS,T080,-87.612922,41.754676
266,CULEX PIPIENS/RESTUANS,T040,-87.719887,41.852652
267,CULEX RESTUANS,T040,-87.719887,41.852652
268,CULEX PIPIENS/RESTUANS,T161,-87.675088,41.719059
269,CULEX RESTUANS,T161,-87.675088,41.719059
270,CULEX PIPIENS,T161,-87.675088,41.719059
271,CULEX PIPIENS/RESTUANS,T035,-87.677737,41.836644
272,CULEX RESTUANS,T035,-87.677737,41.836644
273,CULEX PIPIENS,T035,-87.677737,41.836644
274,CULEX TERRITANS,T035,-87.677737,41.836644
275,CULEX PIPIENS/RESTUANS,T066,-87.703047,41.77166
276,CULEX RESTUANS,T066,-87.703047,41.77166
277,CULEX PIPIENS,T066,-87.703047,41.77166
278,CULEX TERRITANS,T066,-87.703047,41.77166
279,CULEX PIPIENS/RESTUANS,T072,-87.70271600000001,41.74785
280,CULEX RESTUANS,T072,-87.70271600000001,41.74785
281,CULEX PIPIENS,T072,-87.70271600000001,41.74785
282,CULEX TERRITANS,T072,-87.70271600000001,41.74785
283,CULEX PIPIENS,T156,-87.740029,41.772846
284,CULEX PIPIENS/RESTUANS,T156,-87.740029,41.772846
285,CULEX RESTUANS,T156,-87.740029,41.772846
286,CULEX TERRITANS,T156,-87.740029,41.772846
287,CULEX PIPIENS/RESTUANS,T114,-87.736812,41.798697
288,CULEX RESTUANS,T114,-87.736812,41.798697
289,CULEX PIPIENS,T114,-87.736812,41.798697
290,CULEX TERRITANS,T114,-87.736812,41.798697
291,CULEX PIPIENS,T225,-87.731435,41.743402
292,CULEX PIPIENS/RESTUANS,T225,-87.731435,41.743402
293,CULEX RESTUANS,T225,-87.731435,41.743402
294,CULEX SALINARIUS,T225,-87.731435,41.743402
295,CULEX PIPIENS/RESTUANS,T094B,-87.669539,41.71914
296,CULEX RESTUANS,T094B,-87.669539,41.71914
297,CULEX PIPIENS,T206,-87.54306700000001,41.737052
298,CULEX PIPIENS/RESTUANS,T206,-87.54306700000001,41.737052
299,CULEX RESTUANS,T206,-87.54306700000001,41.737052
300,CULEX TERRITANS,T206,-87.54306700000001,41.737052
301,CULEX PIPIENS/RESTUANS,T071,-87.77653199999999,41.781416
302,CULEX PIPIENS,T071,-87.77653199999999,41.781416
303,CULEX RESTUANS,T071,-87.77653199999999,41.781416
304,CULEX RESTUANS,T152,-87.716277,41.846075
305,CULEX PIPIENS/RESTUANS,T152,-87.716277,41.846075
306,CULEX PIPIENS,T152,-87.716277,41.846075
307,CULEX TERRITANS,T152,-87.716277,41.846075
308,CULEX PIPIENS,T099,-87.55551,41.733643
309,CULEX PIPIENS/RESTUANS,T099,-87.55551,41.733643
310,CULEX RESTUANS,T099,-87.55551,41.733643
311,CULEX PIPIENS/RESTUANS,T070,-87.797894,41.797616
312,CULEX RESTUANS,T070,-87.797894,41.797616
313,CULEX PIPIENS,T070,-87.797894,41.797616
314,CULEX RESTUANS,T091,-87.64886,41.862292
315,CULEX PIPIENS/RESTUANS,T091,-87.64886,41.862292
316,CULEX PIPIENS,T091,-87.64886,41.862292
317,CULEX TERRITANS,T091,-87.64886,41.862292
318,CULEX PIPIENS,T063,-87.726549,41.82561
319,CULEX PIPIENS/RESTUANS,T063,-87.726549,41.82561
320,CULEX RESTUANS,T063,-87.726549,41.82561
321,CULEX SALINARIUS,T063,-87.726549,41.82561
322,CULEX TERRITANS,T063,-87.726549,41.82561
323,CULEX TARSALIS,T063,-87.726549,41.82561
324,CULEX PIPIENS/RESTUANS,T078,-87.65535600000001,41.775051
325,CULEX PIPIENS,T078,-87.65535600000001,41.775051
326,CULEX PIPIENS/RESTUANS,T079,-87.562889,41.766202
327,CULEX RESTUANS,T079,-87.562889,41.766202
328,CULEX PIPIENS,T079,-87.562889,41.766202
329,CULEX TERRITANS,T079,-87.562889,41.766202
330,CULEX PIPIENS/RESTUANS,T092,-87.627561,41.869215999999994
331,CULEX RESTUANS,T092,-87.627561,41.869215999999994
332,CULEX PIPIENS,T092,-87.627561,41.869215999999994
333,CULEX RESTUANS,T077,-87.586427,41.778748
334,CULEX PIPIENS,T077,-87.586427,41.778748
335,CULEX PIPIENS/RESTUANS,T077,-87.586427,41.778748
336,CULEX PIPIENS/RESTUANS,T138,-87.585413,41.726465000000005
337,CULEX RESTUANS,T138,-87.585413,41.726465000000005
338,CULEX SALINARIUS,T138,-87.585413,41.726465000000005
339,CULEX PIPIENS,T138,-87.585413,41.726465000000005
340,CULEX TERRITANS,T138,-87.585413,41.726465000000005
341,CULEX PIPIENS/RESTUANS,T051,-87.656913,41.846283
342,CULEX PIPIENS,T051,-87.656913,41.846283
343,CULEX PIPIENS,T200,-87.559308,41.678618
344,CULEX PIPIENS/RESTUANS,T200,-87.559308,41.678618
345,CULEX RESTUANS,T200,-87.559308,41.678618
346,CULEX TERRITANS,T200,-87.559308,41.678618
347,CULEX SALINARIUS,T200,-87.559308,41.678618
348,CULEX TARSALIS,T200,-87.559308,41.678618
349,CULEX PIPIENS,T082,-87.642984,41.803422999999995
350,CULEX PIPIENS/RESTUANS,T082,-87.642984,41.803422999999995
351,CULEX RESTUANS,T082,-87.642984,41.803422999999995
352,CULEX TARSALIS,T082,-87.642984,41.803422999999995
353,CULEX RESTUANS,T089,-87.64997,41.723195000000004
354,CULEX PIPIENS/RESTUANS,T089,-87.64997,41.723195000000004
355,CULEX PIPIENS,T089,-87.64997,41.723195000000004
356,CULEX SALINARIUS,T089,-87.64997,41.723195000000004
357,CULEX TERRITANS,T089,-87.64997,41.723195000000004
358,CULEX PIPIENS,T229,-87.63981700000001,41.753411
359,CULEX PIPIENS/RESTUANS,T229,-87.63981700000001,41.753411
360,CULEX RESTUANS,T229,-87.63981700000001,41.753411
361,CULEX RESTUANS,T034,-87.686763,41.843810999999995
362,CULEX PIPIENS,T034,-87.686763,41.843810999999995
363,CULEX PIPIENS/RESTUANS,T034,-87.686763,41.843810999999995
364,CULEX TERRITANS,T034,-87.686763,41.843810999999995
365,CULEX SALINARIUS,T034,-87.686763,41.843810999999995
366,CULEX PIPIENS/RESTUANS,T095,-87.70373599999999,41.704336
367,CULEX PIPIENS,T095,-87.70373599999999,41.704336
368,CULEX RESTUANS,T095,-87.70373599999999,41.704336
369,CULEX PIPIENS/RESTUANS,T086,-87.676709,41.688324
370,CULEX RESTUANS,T086,-87.676709,41.688324
371,CULEX PIPIENS,T086,-87.676709,41.688324
372,CULEX SALINARIUS,T086,-87.676709,41.688324
373,CULEX TERRITANS,T086,-87.676709,41.688324
374,CULEX PIPIENS/RESTUANS,T158,-87.707973,41.682587
375,CULEX RESTUANS,T158,-87.707973,41.682587
376,CULEX PIPIENS,T158,-87.707973,41.682587
377,CULEX TERRITANS,T158,-87.707973,41.682587
378,CULEX PIPIENS,T135,-87.72460799999999,41.662014
379,CULEX PIPIENS/RESTUANS,T135,-87.72460799999999,41.662014
380,CULEX RESTUANS,T135,-87.72460799999999,41.662014
381,CULEX SALINARIUS,T135,-87.72460799999999,41.662014
382,CULEX TERRITANS,T135,-87.72460799999999,41.662014
383,CULEX RESTUANS,T043,-87.694991,41.857402
384,CULEX PIPIENS/RESTUANS,T043,-87.694991,41.857402
385,CULEX PIPIENS,T043,-87.694991,41.857402
386,CULEX PIPIENS/RESTUANS,T036,-87.729384,41.837084999999995
387,CULEX PIPIENS,T036,-87.729384,41.837084999999995
388,CULEX RESTUANS,T036,-87.729384,41.837084999999995
389,CULEX SALINARIUS,T036,-87.729384,41.837084999999995
390,CULEX PIPIENS,T157,-87.667827,41.825902
391,CULEX PIPIENS/RESTUANS,T157,-87.667827,41.825902
392,CULEX RESTUANS,T157,-87.667827,41.825902
393,CULEX PIPIENS,T061,-87.679447,41.801179
394,CULEX PIPIENS/RESTUANS,T061,-87.679447,41.801179
395,CULEX RESTUANS,T061,-87.679447,41.801179
396,CULEX TERRITANS,T061,-87.679447,41.801179
397,CULEX PIPIENS,T062,-87.71188000000001,41.800737
398,CULEX PIPIENS/RESTUANS,T062,-87.71188000000001,41.800737
399,CULEX RESTUANS,T062,-87.71188000000001,41.800737
400,CULEX SALINARIUS,T062,-87.71188000000001,41.800737
401,CULEX TERRITANS,T062,-87.71188000000001,41.800737
402,CULEX PIPIENS,T065,-87.752411,41.778296999999995
403,CULEX PIPIENS/RESTUANS,T065,-87.752411,41.778296999999995
404,CULEX TERRITANS,T065,-87.752411,41.778296999999995
405,CULEX RESTUANS,T065,-87.752411,41.778296999999995
406,CULEX SALINARIUS,T065,-87.752411,41.778296999999995
407,CULEX PIPIENS/RESTUANS,T155,-87.778927,41.776156
408,CULEX PIPIENS,T155,-87.778927,41.776156
409,CULEX RESTUANS,T155,-87.778927,41.776156
410,CULEX SALINARIUS,T155,-87.778927,41.776156
411,CULEX TERRITANS,T155,-87.778927,41.776156
412,CULEX PIPIENS/RESTUANS,T235,-87.627096,41.776428
413,CULEX RESTUANS,T235,-87.627096,41.776428
414,CULEX TERRITANS,T235,-87.627096,41.776428
415,CULEX PIPIENS,T235,-87.627096,41.776428
416,CULEX SALINARIUS,T235,-87.627096,41.776428
417,CULEX PIPIENS/RESTUANS,T069,-87.678649,41.768388
418,CULEX RESTUANS,T069,-87.678649,41.768388
419,CULEX PIPIENS,T069,-87.678649,41.768388
420,CULEX TERRITANS,T069,-87.678649,41.768388
421,CULEX PIPIENS/RESTUANS,T035A,-87.742302,41.763733
422,CULEX RESTUANS,T035A,-87.742302,41.763733
423,CULEX PIPIENS,T035A,-87.742302,41.763733
424,CULEX TERRITANS,T035A,-87.742302,41.763733
425,CULEX PIPIENS/RESTUANS,T238,-87.707394,41.753391
426,CULEX RESTUANS,T238,-87.707394,41.753391
427,CULEX TERRITANS,T238,-87.707394,41.753391
428,CULEX PIPIENS,T238,-87.707394,41.753391
429,CULEX PIPIENS/RESTUANS,T237,-87.69544300000001,41.738903
430,CULEX PIPIENS,T096,-87.677512,41.731922
431,CULEX RESTUANS,T096,-87.677512,41.731922
432,CULEX PIPIENS/RESTUANS,T096,-87.677512,41.731922
433,CULEX SALINARIUS,T096,-87.677512,41.731922
434,CULEX TERRITANS,T096,-87.677512,41.731922
435,CULEX RESTUANS,T094,-87.666014,41.720848
436,CULEX PIPIENS/RESTUANS,T094,-87.666014,41.720848
437,CULEX PIPIENS,T094,-87.666014,41.720848
438,CULEX TERRITANS,T094,-87.666014,41.720848
439,CULEX SALINARIUS,T094,-87.666014,41.720848
440,CULEX RESTUANS,T085,-87.648064,41.721474
441,CULEX PIPIENS,T085,-87.648064,41.721474
442,CULEX PIPIENS/RESTUANS,T085,-87.648064,41.721474
443,CULEX TERRITANS,T085,-87.648064,41.721474
444,CULEX RESTUANS,T224,-87.67145699999999,41.947227000000005
445,CULEX PIPIENS/RESTUANS,T224,-87.67145699999999,41.947227000000005
446,CULEX PIPIENS,T224,-87.67145699999999,41.947227000000005
447,CULEX PIPIENS/RESTUANS,T141,-87.76007,41.961743
448,CULEX RESTUANS,T141,-87.76007,41.961743
449,CULEX PIPIENS,T141,-87.76007,41.961743
450,CULEX TERRITANS,T141,-87.76007,41.961743
451,CULEX RESTUANS,T025,-87.750938,41.979243
452,CULEX PIPIENS/RESTUANS,T025,-87.750938,41.979243
453,CULEX PIPIENS,T025,-87.750938,41.979243
454,CULEX RESTUANS,T037,-87.79518,41.921177
455,CULEX PIPIENS/RESTUANS,T037,-87.79518,41.921177
456,CULEX PIPIENS,T037,-87.79518,41.921177
457,CULEX TERRITANS,T037,-87.79518,41.921177
458,CULEX RESTUANS,T049,-87.655232,41.896282
459,CULEX PIPIENS/RESTUANS,T049,-87.655232,41.896282
460,CULEX PIPIENS,T049,-87.655232,41.896282
461,CULEX TERRITANS,T049,-87.655232,41.896282
462,CULEX RESTUANS,T150,-87.675919,42.006858
463,CULEX PIPIENS/RESTUANS,T150,-87.675919,42.006858
464,CULEX PIPIENS,T150,-87.675919,42.006858
